MOE,dry_density,acoustic_velocity
13.45615228,860.2564103,3.955
10.84752816,796.6692486,3.69
12.604003,818.1429183,3.925
13.31869257,790.3787794,4.105
12.00267392,862.7010849,3.73
11.40021618,846.4103366,3.67
11.13520521,878.6142225,3.56
13.47134889,827.4161736,4.035
9.260676124,766.8900056,3.475
10.19220637,779.9227799,3.615
11.59295213,768.0897976,3.885
10.36880645,765.6550134,3.68
14.85831314,792.48986,4.33
12.39489475,714.5174371,4.165
10.83354919,760.2157229,3.775
11.47718881,788.5812406,3.815
10.53101985,826.2928585,3.57
11.45010214,792.9433612,3.8
11.90564554,790.84158420000006,3.88
9.805556526,838.3397051,3.42
10.12997388,783.8095238,3.595
16.74836694,836.3467779,4.475
10.60869589,800.680465,3.64
12.38502667,824.8092682,3.875
11.45143628,747.1304348,3.915
10.47016709,752.5510204,3.73
7.392951683,784.4063792,3.07
10.14190856,721.2023864,3.75
10.64807074,735.4643152,3.805
14.45646848,864.2026578,4.09
15.46374614,806.0583672,4.38
14.41440991,872.3198764,4.065
13.48886655,820.3397213,4.055
8.960112292,777.3809524,3.395
9.294648876,780.8988764,3.45
10.17324294,852.2427441,3.455
9.4331885110000009,781.1760063,3.475
9.627073381,776.9784173,3.52
11.49901504,809.0548054,3.77
10.28030199,788.8446215,3.61
12.11185893,847.6707631,3.78
10.09625625,785.5648536,3.585
11.79567997,787.5915554,3.87
13.6421376,788.3076923,4.16
15.2802445,826.405868,4.3
11.72383603,749.5088409,3.955
8.979641528,822.083766,3.305
11.07640409,771.1171662,3.79
11.95750233,780.1478953,3.915
14.01725186,819.8074278,4.135
12.83091665,803.9408867,3.995
9.983788979,772.4984267,3.595
12.06848457,756.1695279,3.995
9.988521739,706.5217391,3.76
10.41467736,713.7055838,3.82
11.90006683,749.3638677,3.985
8.304020404,714.1339001,3.41
10.48341968,772.0189984,3.685
11.164597,779.3118562,3.785
15.27239286,752.5190464,4.505
11.68485852,764.3107068,3.91
11.86535425,808.8782562,3.83
15.80769507,850.9695291,4.31
8.879425982,815.3742867,3.3
8.701064851,818.7234043,3.26
13.8002244,813.0021914,4.12
11.43866096,796.3367676,3.79
11.63003605,772.5340136,3.88
12.8119038,814.9430975,3.965
14.64851605,886.487327,4.065
11.42832859,832.5422723,3.705
12.28435499,820.2201386,3.87
14.18036928,819.4092827,4.16
10.5833843,796.5801887,3.645
11.0648677,803.8932949,3.71
12.39644173,786.5313356,3.97
14.36416688,820.1428772,4.185
10.66874524,809.6551724,3.63
12.45221695,831.428196,3.87
12.49115687,825.4741158,3.89
8.92857001,783.8525111,3.375
11.77021617,802.3925565,3.83
11.94877895,836.2573099,3.78
9.150628122,771.0320902,3.445
12.0874391,782.6168575,3.93
10.45226168,767.6399027,3.69
12.0103454,849.5321273,3.76
10.59113689,838.0373426,3.555
11.68918171,803.1469702,3.815
13.33897571,797.3993289,4.09
10.84848202,739.5566141,3.83
10.77938806,736.7688022,3.825
10.73094422,788.1070367,3.69
10.80111303,751.951952,3.79
11.01675192,779.2519182,3.76
10.98995483,789.9111493,3.73
10.36064926,788.4441769,3.625
12.94104318,764.2397226,4.115
10.98468029,785.3155861,3.74
11.80432471,839.4186459,3.75
11.64330958,777.4178621,3.87
14.50409478,780.7933194,4.31
12.16650923,789.744605,3.925
9.196815634,800.2728513,3.39
11.82032468,793.3316787,3.86
13.2650954,861.0553223,3.925
10.76773436,852.010845,3.555
12.28242985,803.3980583,3.91
8.287595015,719.0332326,3.395
